Replication,Seed,Period,Generated Passengers,Completed Passengers,Mean Completed Wait,Median Completed Wait,P95 Completed Wait,Maximum Completed Wait,Peak Queue,Peak Queue Stop,Peak Queue Time,Period-End Queue,Final Backlog,Mean Bus Occupancy,Maximum Bus Occupancy,Passenger Conservation
1,479243620,Morning,500,497,3.528451699355903,3.0345778600190556,8.760788034251435,12.785715784085085,16,10,403.8714027060975,5,3,15.902325581395349,28,True
1,479243620,Evening,276,273,3.608861960376502,3.2003414402569206,7.508045174401557,21.203372820261393,10,10,921.9096504855238,3,3,12.231818181818182,24,True
2,454024514,Morning,500,500,3.5557223460039817,3.047459377162113,9.438975657835062,13.712287817327137,18,10,468.97862293312244,3,0,15.972093023255814,28,True
2,454024514,Evening,276,274,3.629559065596981,3.486543142379446,7.433749278189644,16.877333093410016,10,10,919.8495907309562,2,2,12.245454545454546,24,True
3,1818751028,Morning,500,499,3.747294634075057,3.242814779493415,8.535082578826163,17.113319104063407,18,10,468.6139606467393,2,1,15.948837209302326,29,True
3,1818751028,Evening,276,271,3.438093237878724,3.1914591847403244,7.922526014825053,19.91371813440651,6,6,949.4560472414815,5,5,12.195454545454545,23,True
4,2288458700,Morning,500,500,3.7424422442212797,3.066803312568254,9.07751014525411,17.103122038687218,16,10,376.18739414187604,3,0,15.972093023255814,29,True
4,2288458700,Evening,276,275,3.6800232654674137,3.32155874548107,7.794111958062198,20.84464936506197,9,10,920.2797790866983,1,1,12.254545454545454,23,True
5,2115331525,Morning,500,498,3.680861915531425,2.918161602867059,9.222355317098765,17.496917601018254,16,10,376.30537286799137,6,2,15.925581395348837,27,True
5,2115331525,Evening,276,275,3.3323893202144186,3.104526940278447,7.848883955338102,21.237413752406155,9,6,956.3685668859082,1,1,12.25909090909091,26,True
6,2666256175,Morning,500,497,3.711648480027203,3.1156168193251688,9.674161465694393,16.95121104742998,18,10,468.85822235729745,4,3,15.902325581395349,29,True
6,2666256175,Evening,276,269,3.7645257616226098,3.411204066261007,8.057684337631098,21.867107742111216,11,10,916.7271298463982,7,7,12.163636363636364,25,True
7,975381835,Morning,500,497,3.684692773814166,3.2065672799833465,9.183397482934355,17.385519057672127,14,10,430.12816954429053,5,3,15.902325581395349,26,True
7,975381835,Evening,276,275,3.708705208976282,3.249314421968961,7.924381343216556,21.249306267979478,9,10,919.0413642652172,1,1,12.268181818181818,22,True
8,2535166222,Morning,500,499,3.776060619525694,3.379235855802449,9.055675402744304,15.457112561809936,17,10,530.7956007141677,1,1,15.948837209302326,33,True
8,2535166222,Evening,276,273,3.671991209041312,3.5373006143061048,7.6809012664404905,14.920507763629757,11,10,921.201299935863,3,3,12.218181818181819,22,True
9,1079577930,Morning,500,497,3.6498563187243795,2.9789570782702413,8.910002054045583,17.48076721347786,21,10,466.9405141823009,3,3,15.902325581395349,29,True
9,1079577930,Evening,276,270,3.658080855620198,3.2978872274516675,7.955912401557861,20.75730858035081,10,10,920.257792489613,6,6,12.177272727272728,25,True
10,3715024065,Morning,500,497,3.6112605230392836,3.070598924485182,9.215310601205806,17.386920756799896,17,10,430.7556475338866,4,3,15.902325581395349,29,True
10,3715024065,Evening,276,275,3.5929118456446525,3.367921875181082,7.871098373009103,18.719945362400267,7,6,1090.18347340986,1,1,12.254545454545454,24,True
11,2056590929,Morning,500,497,3.72298695388039,3.1824237628198375,9.181029987330362,17.431311932765993,20,10,377.59129992042483,4,3,15.902325581395349,31,True
11,2056590929,Evening,276,274,3.622032312101936,3.2648574561983423,7.518357417725828,21.711362923696242,12,10,921.5061420470801,2,2,12.245454545454546,22,True
12,3339987600,Morning,500,498,3.7704297053250335,3.3327526963921628,9.318936395252893,16.192990310280322,22,10,430.87861674399585,3,2,15.925581395348837,31,True
12,3339987600,Evening,276,272,3.7529760942988037,3.1809735947678632,7.983134559744064,21.77411787435915,9,10,915.3572745698926,4,4,12.209090909090909,22,True
13,1788010607,Morning,500,498,3.7254028213030415,3.204325892983036,9.486625445547967,15.971305669339927,20,10,377.003417968522,4,2,15.925581395348837,33,True
13,1788010607,Evening,276,272,3.6106546487247515,3.1932601097936413,7.723003210224902,20.482054246081134,10,10,916.0871804784629,4,4,12.186363636363636,23,True
14,2859898362,Morning,500,498,3.8212772878797088,3.342410790720322,8.998687070422193,17.80731827975444,20,10,468.7354038106937,3,2,15.925581395348837,32,True
14,2859898362,Evening,276,272,3.7756961818572345,3.4535252962504046,8.050927727906727,20.639014259488476,12,10,921.7159117301767,4,4,12.186363636363636,24,True
15,1908601667,Morning,500,499,3.4905958610944054,2.975916593343811,8.710312365529198,13.892970474623382,19,10,437.8813124203886,1,1,15.948837209302326,33,True
15,1908601667,Evening,276,273,3.6481882658648974,3.4052174944290527,7.3970936863341175,19.73518149831898,10,6,956.7189623020456,3,3,12.227272727272727,27,True
16,726301638,Morning,500,499,3.557071779653345,3.04552222042787,9.065511979967955,17.41947971247157,15,10,437.74732708148014,2,1,15.948837209302326,29,True
16,726301638,Evening,276,271,3.763849016409174,3.1550250245272764,7.938643392713061,21.318478168701517,10,10,917.1237184637697,5,5,12.177272727272728,23,True
17,2584016318,Morning,500,498,3.588215138236458,3.1722938200180693,8.755881726309939,16.867363556376006,17,10,377.77889650384265,4,2,15.925581395348837,28,True
17,2584016318,Evening,276,274,3.9479032076966196,3.370373604132169,9.538881036372112,21.723217429965644,13,10,921.3081963473908,2,2,12.245454545454546,26,True
18,4074852312,Morning,500,498,3.776289585868852,3.2862624199293577,9.185267031033423,16.072870366722043,17,10,536.8060527960603,3,2,15.925581395348837,33,True
18,4074852312,Evening,276,272,3.576360581795585,3.200112888194667,7.44335950328234,18.760078225878146,12,10,919.4008801582,4,4,12.195454545454545,26,True
19,3205241267,Morning,500,499,3.5644165157507564,2.9529265511858966,9.141401653996745,17.80279281059211,18,10,429.25889329561966,2,1,15.948837209302326,27,True
19,3205241267,Evening,276,275,3.7622492855171963,3.250256823210293,7.787795750797643,21.753893595374507,9,10,921.3115886682207,1,1,12.254545454545454,22,True
20,1304481603,Morning,500,499,3.7351385410644014,3.0903673001822085,9.5056507615928,16.510828799289868,15,10,403.7599107768336,2,1,15.948837209302326,26,True
20,1304481603,Evening,276,270,3.868877890139425,3.0479475418324,8.572089083240453,21.577509143934662,10,10,920.5984206811787,6,6,12.145454545454545,26,True
21,2726751603,Morning,500,499,3.6513932565353375,3.099352018088098,8.645490297374987,16.227842796722427,18,10,377.2352534863135,3,1,15.948837209302326,29,True
21,2726751603,Evening,276,272,3.6675828383190523,3.208575606552813,7.657904847319878,20.876715616803494,10,10,921.8643214543299,4,4,12.190909090909091,24,True
22,2114242019,Morning,500,499,3.7832971920366028,3.228000407382524,9.323748961750987,17.4344349111596,14,10,413.55348983643154,2,1,15.948837209302326,31,True
22,2114242019,Evening,276,274,3.5860330171762844,3.197488716155135,7.453875023162932,18.05952718026981,11,10,921.6743903891552,2,2,12.25,25,True
