Passenger ID,Stop Sequence,Stop Name,Hour,Period,Arrival Minutes,Replication,Seed
R01_P00001,6,W 65 ST/CENTRAL PARK WEST,6,Morning,361.85603659646955,1,479243620
R01_P00002,6,W 65 ST/CENTRAL PARK WEST,6,Morning,377.7582322872036,1,479243620
R01_P00003,6,W 65 ST/CENTRAL PARK WEST,6,Morning,384.4000213116974,1,479243620
R01_P00004,6,W 65 ST/CENTRAL PARK WEST,6,Morning,385.1662044273044,1,479243620
R01_P00005,6,W 65 ST/CENTRAL PARK WEST,6,Morning,385.9332424148237,1,479243620
R01_P00006,6,W 65 ST/CENTRAL PARK WEST,6,Morning,389.93375107637144,1,479243620
R01_P00007,6,W 65 ST/CENTRAL PARK WEST,6,Morning,402.6515620598103,1,479243620
R01_P00008,6,W 65 ST/CENTRAL PARK WEST,6,Morning,410.10850914480113,1,479243620
R01_P00009,6,W 65 ST/CENTRAL PARK WEST,7,Morning,422.08817681367714,1,479243620
R01_P00010,6,W 65 ST/CENTRAL PARK WEST,7,Morning,422.9342179170345,1,479243620
R01_P00011,6,W 65 ST/CENTRAL PARK WEST,7,Morning,424.02572597993395,1,479243620
R01_P00012,6,W 65 ST/CENTRAL PARK WEST,7,Morning,424.37198285807204,1,479243620
R01_P00013,6,W 65 ST/CENTRAL PARK WEST,7,Morning,429.79064868777346,1,479243620
R01_P00014,6,W 65 ST/CENTRAL PARK WEST,7,Morning,435.7802683908771,1,479243620
R01_P00015,6,W 65 ST/CENTRAL PARK WEST,7,Morning,436.35842432211643,1,479243620
R01_P00016,6,W 65 ST/CENTRAL PARK WEST,7,Morning,438.12347414255896,1,479243620
R01_P00017,6,W 65 ST/CENTRAL PARK WEST,7,Morning,440.6840371458648,1,479243620
R01_P00018,6,W 65 ST/CENTRAL PARK WEST,7,Morning,441.3048428169659,1,479243620
R01_P00019,6,W 65 ST/CENTRAL PARK WEST,7,Morning,441.89964218114335,1,479243620
R01_P00020,6,W 65 ST/CENTRAL PARK WEST,7,Morning,444.4414528579285,1,479243620
R01_P00021,6,W 65 ST/CENTRAL PARK WEST,7,Morning,450.04838042318045,1,479243620
R01_P00022,6,W 65 ST/CENTRAL PARK WEST,7,Morning,452.05872690276567,1,479243620
R01_P00023,6,W 65 ST/CENTRAL PARK WEST,7,Morning,458.69135750993155,1,479243620
R01_P00024,6,W 65 ST/CENTRAL PARK WEST,7,Morning,459.5913428327017,1,479243620
R01_P00025,6,W 65 ST/CENTRAL PARK WEST,7,Morning,459.8020170529782,1,479243620
R01_P00026,6,W 65 ST/CENTRAL PARK WEST,7,Morning,460.83080996648016,1,479243620
R01_P00027,6,W 65 ST/CENTRAL PARK WEST,7,Morning,463.27659817312355,1,479243620
R01_P00028,6,W 65 ST/CENTRAL PARK WEST,7,Morning,474.1692798639181,1,479243620
R01_P00029,6,W 65 ST/CENTRAL PARK WEST,7,Morning,474.28627569677093,1,479243620
R01_P00030,6,W 65 ST/CENTRAL PARK WEST,7,Morning,475.42808519826303,1,479243620
R01_P00031,6,W 65 ST/CENTRAL PARK WEST,7,Morning,475.6956360467064,1,479243620
R01_P00032,6,W 65 ST/CENTRAL PARK WEST,7,Morning,477.8884425076426,1,479243620
R01_P00033,6,W 65 ST/CENTRAL PARK WEST,7,Morning,479.1153952553599,1,479243620
R01_P00034,6,W 65 ST/CENTRAL PARK WEST,8,Morning,481.269414337363,1,479243620
R01_P00035,6,W 65 ST/CENTRAL PARK WEST,8,Morning,482.123599676719,1,479243620
R01_P00036,6,W 65 ST/CENTRAL PARK WEST,8,Morning,483.32878103652916,1,479243620
