Date,Hour,Route ID,Direction,Stop ID,Stop Sequence,Boardings,Alightings,Trips,Stop Name,Period
2025-01-01,2025-01-01 09:00:00,M66,E,403497,10,2,1,1,E 68 ST/LEXINGTON AV,Morning
2025-01-01,2025-01-01 15:00:00,M66,E,403492,6,8,0,1,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-01,2025-01-01 15:00:00,M66,E,404994,8,0,4,1,MADISON AV/E 65 ST,Evening
2025-01-01,2025-01-01 15:00:00,M66,E,403495,9,3,2,2,MADISON AV/E 67 ST,Evening
2025-01-01,2025-01-01 15:00:00,M66,E,403497,10,0,1,1,E 68 ST/LEXINGTON AV,Evening
2025-01-01,2025-01-01 16:00:00,M66,E,403492,6,1,1,1,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-01,2025-01-01 16:00:00,M66,E,403494,7,0,4,2,E 65 ST/5 AV,Evening
2025-01-01,2025-01-01 16:00:00,M66,E,404994,8,0,4,1,MADISON AV/E 65 ST,Evening
2025-01-01,2025-01-01 16:00:00,M66,E,403495,9,0,3,2,MADISON AV/E 67 ST,Evening
2025-01-01,2025-01-01 16:00:00,M66,E,403497,10,1,12,2,E 68 ST/LEXINGTON AV,Evening
2025-01-01,2025-01-01 17:00:00,M66,E,403492,6,4,1,1,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-01,2025-01-01 17:00:00,M66,E,404994,8,1,4,2,MADISON AV/E 65 ST,Evening
2025-01-01,2025-01-01 17:00:00,M66,E,403495,9,0,1,1,MADISON AV/E 67 ST,Evening
2025-01-01,2025-01-01 17:00:00,M66,E,403497,10,2,3,2,E 68 ST/LEXINGTON AV,Evening
2025-01-01,2025-01-01 18:00:00,M66,E,403492,6,1,0,1,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-01,2025-01-01 18:00:00,M66,E,404994,8,3,0,1,MADISON AV/E 65 ST,Evening
2025-01-01,2025-01-01 18:00:00,M66,E,403497,10,8,3,2,E 68 ST/LEXINGTON AV,Evening
2025-01-01,2025-01-01 19:00:00,M66,E,403492,6,6,0,1,W 65 ST/CENTRAL PARK WEST,Evening
