"Date","Hour","Route ID","Direction","Stop ID","Stop Sequence","Boardings","Alightings","Trips"
"2025-01-01","2025-01-01 05:00:00 AM","M66","E","403491","4","3","0","1"
"2025-01-01","2025-01-01 05:00:00 AM","M66","E","403492","6","1","0","1"
"2025-01-01","2025-01-01 05:00:00 AM","M66","E","403497","10","0","1","1"
"2025-01-01","2025-01-01 05:00:00 AM","M66","E","403994","12","0","1","1"
"2025-01-01","2025-01-01 05:00:00 AM","M66","E","403996","14","0","2","1"
"2025-01-01","2025-01-01 09:00:00 AM","M66","E","403497","10","2","1","1"
"2025-01-01","2025-01-01 09:00:00 AM","M66","E","403996","14","0","2","1"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403487","1","5","0","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403488","2","3","0","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403489","3","2","0","1"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403491","4","11","2","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403492","6","5","0","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","404994","8","0","3","1"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403495","9","0","3","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403497","10","7","0","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403993","11","0","3","1"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403994","12","0","2","1"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403995","13","0","8","2"
"2025-01-01","2025-01-01 01:00:00 PM","M66","E","403996","14","0","9","1"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403487","1","5","0","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403489","3","2","0","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403491","4","9","2","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403492","6","7","1","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403494","7","0","3","1"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","404994","8","0","2","1"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403497","10","1","2","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403993","11","0","2","1"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403995","13","0","10","2"
"2025-01-01","2025-01-01 02:00:00 PM","M66","E","403996","14","1","8","2"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403487","1","1","0","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403488","2","1","0","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403489","3","6","0","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403491","4","14","0","2"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403492","6","8","0","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","404994","8","0","4","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403495","9","3","2","2"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403497","10","0","1","1"
"2025-01-01","2025-01-01 03:00:00 PM","M66","E","403993","11","5","9","1"
