service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_C6-Sunday,0,0,0,0,0,0,1,20260628,20260830
MQ_C6-Weekday-SDon,1,1,1,1,1,0,0,20260629,20260904
MQ_C6-Saturday,0,0,0,0,0,1,0,20260703,20260905
MV_C6-Sunday,0,0,0,0,0,0,1,20260628,20260830
MV_C6-Weekday-SDon,1,1,1,1,1,0,0,20260629,20260904
MV_C6-Saturday,0,0,0,0,0,1,0,20260703,20260905
MV_C6-Saturday-BM,0,0,0,0,1,0,0,20260702,20260904
OF_C6-Sunday,0,0,0,0,0,0,1,20260628,20260830
OF_C6-Weekday-SDon,1,1,1,1,1,0,0,20260629,20260904
OF_C6-Saturday,0,0,0,0,0,1,0,20260703,20260905
OH_C6-Sunday,0,0,0,0,0,0,1,20260628,20260830
OH_C6-Sunday-BM,0,0,0,0,0,1,0,20260627,20260829
OH_C6-Weekday-SDon,1,1,1,1,1,0,0,20260629,20260904
OH_C6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260628,20260903
OH_C6-Saturday,0,0,0,0,0,1,0,20260703,20260905
OH_C6-Saturday-BM,0,0,0,0,1,0,0,20260702,20260904
