service_id,date,exception_type
MQ_C6-Weekday-SDon,20260703,2
MQ_C6-Weekday-SDon,20260629,2
MQ_C6-Weekday-SDon,20260630,2
MQ_C6-Weekday-SDon,20260820,2
MQ_C6-Weekday-SDon,20260821,2
MQ_C6-Weekday-SDon,20260824,2
MQ_C6-Weekday-SDon,20260825,2
MQ_C6-Weekday-SDon,20260826,2
MQ_C6-Weekday-SDon,20260827,2
MQ_C6-Weekday-SDon,20260828,2
MQ_C6-Weekday-SDon,20260831,2
MQ_C6-Weekday-SDon,20260901,2
MQ_C6-Weekday-SDon,20260902,2
MQ_C6-Weekday-SDon,20260903,2
MQ_C6-Weekday-SDon,20260904,2
MQ_C6-Weekday,20260629,1
MQ_C6-Weekday,20260630,1
MQ_C6-Weekday,20260820,1
MQ_C6-Weekday,20260821,1
MQ_C6-Weekday,20260824,1
MQ_C6-Weekday,20260825,1
MQ_C6-Weekday,20260826,1
MQ_C6-Weekday,20260827,1
MQ_C6-Weekday,20260828,1
MQ_C6-Weekday,20260831,1
MQ_C6-Weekday,20260901,1
MQ_C6-Weekday,20260902,1
MQ_C6-Weekday,20260903,1
MQ_C6-Weekday,20260904,1
MQ_C6-Saturday,20260703,1
MV_C6-Weekday-SDon,20260703,2
MV_C6-Weekday-SDon,20260629,2
MV_C6-Weekday-SDon,20260630,2
MV_C6-Weekday-SDon,20260820,2
MV_C6-Weekday-SDon,20260821,2
MV_C6-Weekday-SDon,20260824,2
MV_C6-Weekday-SDon,20260825,2
MV_C6-Weekday-SDon,20260826,2
MV_C6-Weekday-SDon,20260827,2
MV_C6-Weekday-SDon,20260828,2
MV_C6-Weekday-SDon,20260831,2
MV_C6-Weekday-SDon,20260901,2
MV_C6-Weekday-SDon,20260902,2
MV_C6-Weekday-SDon,20260903,2
MV_C6-Weekday-SDon,20260904,2
MV_C6-Weekday,20260629,1
MV_C6-Weekday,20260630,1
MV_C6-Weekday,20260820,1
MV_C6-Weekday,20260821,1
MV_C6-Weekday,20260824,1
MV_C6-Weekday,20260825,1
MV_C6-Weekday,20260826,1
MV_C6-Weekday,20260827,1
MV_C6-Weekday,20260828,1
MV_C6-Weekday,20260831,1
MV_C6-Weekday,20260901,1
MV_C6-Weekday,20260902,1
MV_C6-Weekday,20260903,1
MV_C6-Weekday,20260904,1
MV_C6-Saturday,20260703,1
MV_C6-Saturday-BM,20260702,1
OF_C6-Weekday-SDon,20260703,2
OF_C6-Weekday-SDon,20260629,2
OF_C6-Weekday-SDon,20260630,2
OF_C6-Weekday-SDon,20260820,2
OF_C6-Weekday-SDon,20260821,2
OF_C6-Weekday-SDon,20260824,2
OF_C6-Weekday-SDon,20260825,2
OF_C6-Weekday-SDon,20260826,2
OF_C6-Weekday-SDon,20260827,2
OF_C6-Weekday-SDon,20260828,2
OF_C6-Weekday-SDon,20260831,2
OF_C6-Weekday-SDon,20260901,2
OF_C6-Weekday-SDon,20260902,2
OF_C6-Weekday-SDon,20260903,2
OF_C6-Weekday-SDon,20260904,2
OF_C6-Weekday,20260629,1
OF_C6-Weekday,20260630,1
OF_C6-Weekday,20260820,1
OF_C6-Weekday,20260821,1
OF_C6-Weekday,20260824,1
OF_C6-Weekday,20260825,1
OF_C6-Weekday,20260826,1
OF_C6-Weekday,20260827,1
OF_C6-Weekday,20260828,1
OF_C6-Weekday,20260831,1
OF_C6-Weekday,20260901,1
OF_C6-Weekday,20260902,1
OF_C6-Weekday,20260903,1
OF_C6-Weekday,20260904,1
OF_C6-Saturday,20260703,1
OH_C6-Weekday-SDon,20260703,2
OH_C6-Weekday-SDon-BM,20260702,2
OH_C6-Weekday-SDon,20260629,2
OH_C6-Weekday-SDon-BM,20260628,2
OH_C6-Weekday-SDon,20260630,2
OH_C6-Weekday-SDon-BM,20260629,2
OH_C6-Weekday-SDon,20260820,2
OH_C6-Weekday-SDon-BM,20260819,2
OH_C6-Weekday-SDon,20260821,2
OH_C6-Weekday-SDon-BM,20260820,2
OH_C6-Weekday-SDon,20260824,2
OH_C6-Weekday-SDon-BM,20260823,2
OH_C6-Weekday-SDon,20260825,2
OH_C6-Weekday-SDon-BM,20260824,2
OH_C6-Weekday-SDon,20260826,2
OH_C6-Weekday-SDon-BM,20260825,2
OH_C6-Weekday-SDon,20260827,2
OH_C6-Weekday-SDon-BM,20260826,2
OH_C6-Weekday-SDon,20260828,2
OH_C6-Weekday-SDon-BM,20260827,2
OH_C6-Weekday-SDon,20260831,2
OH_C6-Weekday-SDon-BM,20260830,2
OH_C6-Weekday-SDon,20260901,2
OH_C6-Weekday-SDon-BM,20260831,2
OH_C6-Weekday-SDon,20260902,2
OH_C6-Weekday-SDon-BM,20260901,2
OH_C6-Weekday-SDon,20260903,2
OH_C6-Weekday-SDon-BM,20260902,2
OH_C6-Weekday-SDon,20260904,2
OH_C6-Weekday-SDon-BM,20260903,2
OH_C6-Weekday,20260629,1
OH_C6-Weekday-BM,20260628,1
OH_C6-Weekday,20260630,1
OH_C6-Weekday-BM,20260629,1
OH_C6-Weekday,20260820,1
OH_C6-Weekday-BM,20260819,1
OH_C6-Weekday,20260821,1
OH_C6-Weekday-BM,20260820,1
OH_C6-Weekday,20260824,1
OH_C6-Weekday-BM,20260823,1
OH_C6-Weekday,20260825,1
OH_C6-Weekday-BM,20260824,1
OH_C6-Weekday,20260826,1
OH_C6-Weekday-BM,20260825,1
OH_C6-Weekday,20260827,1
OH_C6-Weekday-BM,20260826,1
OH_C6-Weekday,20260828,1
OH_C6-Weekday-BM,20260827,1
OH_C6-Weekday,20260831,1
OH_C6-Weekday-BM,20260830,1
OH_C6-Weekday,20260901,1
OH_C6-Weekday-BM,20260831,1
OH_C6-Weekday,20260902,1
OH_C6-Weekday-BM,20260901,1
OH_C6-Weekday,20260903,1
OH_C6-Weekday-BM,20260902,1
OH_C6-Weekday,20260904,1
OH_C6-Weekday-BM,20260903,1
OH_C6-Saturday,20260703,1
OH_C6-Saturday-BM,20260702,1
