Period,Technique,Optimizer Seed,Evaluation Budget,Search Best Fitness,Best Service Plan,Validated Mean Wait,Validated Mean Backlog,Validated Mean Peak Queue,Validated Mean P95 Wait,Passenger Conservation
Morning,GA,101,10,3.4616478164853506,"(8, 12, 10, 8, 5)",3.4902332497234685,2.1,16.3,7.558990446857479,True
Morning,GA,202,10,3.5031853757399594,"(6, 10, 12, 8, 7)",3.5149006693722264,1.4333333333333333,17.733333333333334,7.861142984325747,True
Morning,GA,303,10,3.435063619167148,"(8, 9, 11, 9, 6)",3.488068196657662,1.8333333333333333,17.5,7.146190610752061,True
Morning,SA,101,10,3.523287724934479,"(6, 11, 11, 7, 8)",3.546932647089117,1.1333333333333333,17.466666666666665,7.96109059218714,True
Morning,SA,202,10,3.5248585410883115,"(5, 12, 12, 8, 6)",3.556695404956271,1.8333333333333333,17.9,9.097174787181538,True
Morning,SA,303,10,3.416847545657906,"(7, 12, 11, 7, 6)",3.4698226883848187,1.8333333333333333,16.366666666666667,7.927950577048827,True
Morning,PSO,101,10,3.495882016200992,"(7, 11, 10, 7, 8)",3.539774260620525,1.1333333333333333,17.033333333333335,7.4547373982110985,True
Morning,PSO,202,10,3.416847545657906,"(7, 12, 11, 7, 6)",3.4698226883848187,1.8333333333333333,16.366666666666667,7.927950577048827,True
Morning,PSO,303,10,3.448799011295395,"(9, 9, 12, 7, 6)",3.4771379798598523,1.8333333333333333,16.966666666666665,7.5991715735193015,True
Evening,GA,101,10,3.4756584380167643,"(11, 7, 9, 10, 7)",3.5321986491301183,0.9666666666666667,8.633333333333333,7.473238068140844,True
Evening,GA,202,10,3.4731110898883886,"(10, 7, 11, 9, 7)",3.549980392248037,0.9666666666666667,8.733333333333333,7.4924548047297765,True
Evening,GA,303,10,3.4613986940851573,"(9, 12, 10, 8, 5)",3.5765834228352613,1.1333333333333333,8.433333333333334,7.967964242645712,True
Evening,SA,101,10,3.502432692420702,"(9, 11, 10, 6, 8)",3.6149564125618183,0.8333333333333334,8.533333333333333,7.750739720346934,True
Evening,SA,202,10,3.48060043249572,"(9, 12, 10, 7, 6)",3.572980591482131,1.0666666666666667,8.5,7.8684190068196465,True
Evening,SA,303,10,3.4262059786403967,"(10, 12, 10, 6, 6)",3.558175915935475,1.0666666666666667,8.433333333333334,8.455815266714408,True
Evening,PSO,101,10,3.5180841861816483,"(12, 10, 7, 8, 7)",3.5522539859300304,0.9666666666666667,8.566666666666666,7.604820728903557,True
Evening,PSO,202,10,3.4971019852907475,"(9, 7, 12, 10, 6)",3.6235580886293364,1.0666666666666667,8.833333333333334,7.861773863130905,True
Evening,PSO,303,10,3.492289136303989,"(8, 12, 10, 8, 6)",3.5824840270278693,1.0666666666666667,8.7,7.451465536155452,True
