Stop Sequence,Stop Name,Period,Records,Avg_Boardings,Avg_Alightings,Avg_Trips
6,W 65 ST/CENTRAL PARK WEST,Evening,1289,25.36,2.38,5.26
6,W 65 ST/CENTRAL PARK WEST,Morning,1286,23.36,2.14,4.99
7,E 65 ST/5 AV,Evening,1256,4.2,11.21,4.35
7,E 65 ST/5 AV,Morning,1274,4.36,20.98,4.9
8,MADISON AV/E 65 ST,Evening,1278,3.79,13.57,4.66
8,MADISON AV/E 65 ST,Morning,1273,2.54,15.04,4.71
9,MADISON AV/E 67 ST,Evening,1278,4.78,12.99,4.78
9,MADISON AV/E 67 ST,Morning,1282,5.65,12.75,4.73
10,E 68 ST/LEXINGTON AV,Evening,1302,17.22,41.72,6.09
10,E 68 ST/LEXINGTON AV,Morning,1296,63.9,27.79,5.73
